n;A;alpha;R^2;suggested_partition;epsilon1;epsilon2
3;20;0;[1, 1, 1];[[0, 1, 2]];4.263256414560601e-14;0
3;20;1;[1, 1, 1];[[0, 1, 2]];2.842170943040401e-14;0
3;20;2;[1, 1, 1];[[0, 1, 2]];5.684341886080802e-14;0
3;20;3;[1, 1, 1];[[0, 1, 2]];5.684341886080802e-14;0
3;20;4;[1, 1, 1];[[0, 1, 2]];2.842170943040401e-14;0
3;20;5;[1, 1, 1];[[0, 1, 2]];2.842170943040401e-14;0
3;20;6;[1, 1, 1];[[0, 1, 2]];1.4210854715202004e-14;0
3;20;7;[1, 1, 1];[[0, 1, 2]];2.842170943040401e-14;0
3;20;8;[1, 1, 1];[[0, 1, 2]];2.842170943040401e-14;0
3;20;9;[1, 1, 1];[[0, 1, 2]];1.4210854715202004e-14;0
3;100;0;[1, 1, 1];[[0], [1], [2]];9.094947017729282e-13;0
3;100;1;[1, 1, 1];[[0, 1, 2]];9.094947017729282e-13;0
3;100;2;[1, 1, 1];[[0, 1, 2]];9.094947017729282e-13;0
3;100;3;[1, 1, 1];[[0, 1, 2]];9.094947017729282e-13;0
3;100;4;[1, 1, 1];[[0, 1, 2]];9.094947017729282e-13;0
3;100;5;[1, 1, 1];[[0, 1, 2]];4.547473508864641e-13;0
3;100;6;[1, 1, 1];[[0, 1, 2]];4.547473508864641e-13;0
3;100;7;[1, 1, 1];[[0, 1, 2]];4.547473508864641e-13;0
3;100;8;[1, 1, 1];[[0, 1, 2]];4.547473508864641e-13;0
3;100;9;[1, 1, 1];[[0, 1, 2]];4.547473508864641e-13;0
4;20;0;[1, 1, 1, 1];[[0, 1, 3], [2]];1.7053025658242404e-13;0
4;20;1;[1, 1, 1, 1];[[0, 1, 2, 3]];1.1368683772161603e-13;0
4;20;2;[1, 1, 1, 1];[[0, 1, 2, 3]];5.684341886080802e-14;0
4;20;3;[1, 1, 1, 1];[[0, 1, 2, 3]];8.526512829121202e-14;0
4;20;4;[1, 1, 1, 1];[[0, 1, 2, 3]];5.684341886080802e-14;0
4;20;5;[1, 1, 1, 1];[[0, 1, 2, 3]];1.1368683772161603e-13;0
4;20;6;[1, 1, 1, 1];[[0, 1, 2, 3]];9.947598300641403e-14;0
4;20;7;[1, 1, 1, 1];[[0, 1, 2, 3]];5.684341886080802e-14;0
4;20;8;[1, 1, 1, 1];[[0, 1, 2, 3]];1.2789769243681803e-13;0
4;20;9;[1, 1, 1, 1];[[0, 1, 2, 3]];7.105427357601002e-14;0
4;100;0;[1, 1, 1, 1];[[0, 2, 3], [1]];2.7284841053187847e-12;0
4;100;1;[1, 1, 1, 1];[[0, 1, 2, 3]];3.637978807091713e-12;0
4;100;2;[1, 1, 1, 1];[[0, 1, 2, 3]];1.8189894035458565e-12;0
4;100;3;[1, 1, 1, 1];[[0, 1, 2, 3]];1.8189894035458565e-12;0
4;100;4;[1, 1, 1, 1];[[0, 1, 2, 3]];1.3642420526593924e-12;0
4;100;5;[1, 1, 1, 1];[[0, 1, 2, 3]];3.183231456205249e-12;0
4;100;6;[1, 1, 1, 1];[[0, 1, 2, 3]];2.7284841053187847e-12;0
4;100;7;[1, 1, 1, 1];[[0, 1, 2, 3]];1.5916157281026244e-12;0
4;100;8;[1, 1, 1, 1];[[0, 1, 2, 3]];1.8189894035458565e-12;0
4;100;9;[1, 1, 1, 1];[[0, 1, 2, 3]];1.2505552149377763e-12;0
5;20;0;[1, 1, 1, 1, 1];[[0, 1, 2, 3], [4]];1.9895196601282805e-13;0
5;20;1;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];3.126388037344441e-13;0
5;20;2;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];2.5579538487363607e-13;0
5;20;3;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];2.2737367544323206e-13;0
5;20;4;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];1.7053025658242404e-13;0
5;20;5;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];1.9895196601282805e-13;0
5;20;6;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];1.9895196601282805e-13;0
5;20;7;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];1.2789769243681803e-13;0
5;20;8;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];1.4210854715202004e-13;0
5;20;9;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];1.5631940186722204e-13;0
5;100;0;[1, 1, 1, 1, 1];[[0, 1, 2, 3], [4]];6.366462912410498e-12;0
5;100;1;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];6.366462912410498e-12;0
5;100;2;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];6.366462912410498e-12;0
5;100;3;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];4.547473508864641e-12;0
5;100;4;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];4.547473508864641e-12;0
5;100;5;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];4.547473508864641e-12;0
5;100;6;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];3.183231456205249e-12;0
5;100;7;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];2.7284841053187847e-12;0
5;100;8;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];3.637978807091713e-12;0
5;100;9;[1, 1, 1, 1, 1];[[0, 1, 2, 3, 4]];4.547473508864641e-12;0
6;20;0;[1, 1, 1, 1, 1, 1];[[1, 2, 3, 4, 5], [0]];1.9895196601282805e-13;0
6;20;1;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];1.678836779873535;0
6;20;2;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];3.7629684766185107;0
6;20;3;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];5.2717921091495725;0
6;20;4;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];6.251771146029199;0
6;20;5;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];6.850839673375077;0
6;20;6;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.190559088456595;0
6;20;7;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.356372364908012;0
6;20;8;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.406045850631088;0
6;20;9;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.378365949990865;0
6;100;0;[1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];5.4569682106375694e-12;0
6;100;1;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];41.97091949683818;0
